0.2	19.652
0.4	19.547
0.6	19.441
0.8	19.335
1	19.23
1.2	19.125
1.4	19.021
1.6	18.914
1.8	18.804
2	18.692
2.2	18.576
2.4	18.46
2.6	18.348
2.8	18.245
3	18.159
3.2	18.098
3.4	18.069
3.6	18.079
3.8	18.135
4	18.24
4.2	18.395
4.4	18.601
4.6	18.854
4.8	19.148
5	19.473
5.2	19.822
5.4	20.181
5.6	20.539
5.8	20.884
6	21.205
6.2	21.491
6.4	21.734
6.6	21.927
6.8	22.067
7	22.152
7.2	22.184
7.4	22.168
7.6	22.11
7.8	22.016
8	21.893
8.2	21.748
8.4	21.587
8.6	21.414
8.8	21.233
9	21.048
9.2	20.862
9.4	20.675
9.6	20.492
9.8	20.311
10	20.135
10.2	19.963
10.4	19.797
10.6	19.637
10.8	19.483
11	19.336
11.2	19.195
11.4	19.062
11.6	18.936
11.8	18.82
12	18.714
12.2	18.622
12.4	18.547
12.6	18.493
12.8	18.465
13	18.469
13.2	18.508
13.4	18.586
13.6	18.706
13.8	18.866
14	19.064
14.2	19.295
14.4	19.551
14.6	19.827
14.8	20.113
15	20.404
15.2	20.693
15.4	20.973
15.6	21.24
15.8	21.487
16	21.709
16.2	21.899
16.4	22.054
16.6	22.171
16.8	22.249
17	22.291
17.2	22.301
17.4	22.282
17.6	22.241
17.8	22.181
18	22.107
18.2	22.021
18.4	21.924
18.6	21.815
18.8	21.694
19	21.559
19.2	21.41
19.4	21.245
19.6	21.066
19.8	20.878
20	20.684
20.2	20.491
20.4	20.306
20.6	20.137
20.8	19.989
21	19.868
21.2	19.777
21.4	19.718
21.6	19.688
21.8	19.684
22	19.7
22.2	19.727
22.4	19.755
22.6	19.776
22.8	19.782
23	19.765
23.2	19.722
23.4	19.656
23.6	19.569
23.8	19.471
24	19.372
24.2	19.283
24.4	19.219
24.6	19.19
24.8	19.21
25	19.286
25.2	19.427
25.4	19.635
25.6	19.907
25.8	20.239
26	20.619
26.2	21.032
26.4	21.46
26.6	21.885
26.8	22.288
27	22.651
27.2	22.962
27.4	23.21
27.6	23.389
27.8	23.495
28	23.528
28.2	23.491
28.4	23.388
28.6	23.226
28.8	23.015
29	22.766
29.2	22.489
29.4	22.197
29.6	21.902
29.8	21.614
30	21.341
30.2	21.091
30.4	20.869
30.6	20.678
30.8	20.518
31	20.39
31.2	20.291
31.4	20.22
31.6	20.172
31.8	20.142
32	20.127
32.2	20.122
32.4	20.123
32.6	20.126
32.8	20.129
33	20.131
33.2	20.13
33.4	20.127
33.6	20.122
33.8	20.117
34	20.114
34.2	20.112
34.4	20.115
34.6	20.124
34.8	20.14
35	20.167
35.2	20.21
35.4	20.273
35.6	20.363
35.8	20.488
36	20.653
36.2	20.864
36.4	21.124
36.6	21.431
36.8	21.782
37	22.165
37.2	22.57
37.4	22.98
37.6	23.377
37.8	23.746
38	24.072
38.2	24.342
38.4	24.549
38.6	24.689
38.8	24.764
39	24.775
39.2	24.731
39.4	24.64
39.6	24.511
39.8	24.356
40	24.184
40.2	24.004
40.4	23.824
40.6	23.649
40.8	23.481
41	23.321
41.2	23.166
41.4	23.012
41.6	22.854
41.8	22.687
42	22.505
42.2	22.305
42.4	22.086
42.6	21.848
42.8	21.596
43	21.334
43.2	21.071
43.4	20.813
43.6	20.571
43.8	20.349
44	20.153
44.2	19.988
44.4	19.853
44.6	19.751
44.8	19.681
45	19.642
45.2	19.637
45.4	19.666
45.6	19.731
45.8	19.836
46	19.982
46.2	20.169
46.4	20.395
46.6	20.653
46.8	20.934
47	21.225
47.2	21.512
47.4	21.78
47.6	22.016
47.8	22.213
48	22.363
48.2	22.467
48.4	22.528
48.6	22.552
48.8	22.547
49	22.524
49.2	22.493
49.4	22.463
49.6	22.444
49.8	22.444
50	22.47
50.2	22.526
50.4	22.615
50.6	22.74
50.8	22.898
51	23.088
51.2	23.304
51.4	23.539
51.6	23.782
51.8	24.024
52	24.252
52.2	24.457
52.4	24.63
52.6	24.763
52.8	24.852
53	24.897
53.2	24.9
53.4	24.863
53.6	24.794
53.8	24.698
54	24.581
54.2	24.45
54.4	24.311
54.6	24.166
54.8	24.02
55	23.873
55.2	23.728
55.4	23.585
55.6	23.445
55.8	23.31
56	23.179
56.2	23.055
56.4	22.936
56.6	22.823
56.8	22.712
57	22.601
57.2	22.486
57.4	22.366
57.6	22.238
57.8	22.102
58	21.963
58.2	21.824
58.4	21.693
58.6	21.579
58.8	21.493
59	21.443
59.2	21.439
59.4	21.487
59.6	21.592
59.8	21.757
60	21.979
60.2	22.252
60.4	22.568
60.6	22.913
60.8	23.272
61	23.63
61.2	23.969
61.4	24.279
61.6	24.548
61.8	24.769
62	24.94
62.2	25.06
62.4	25.128
62.6	25.147
62.8	25.122
63	25.057
63.2	24.958
63.4	24.832
63.6	24.684
63.8	24.519
64	24.345
64.2	24.165
64.4	23.983
64.6	23.802
64.8	23.625
65	23.451
65.2	23.28
65.4	23.111
65.6	22.944
65.8	22.776
66	22.609
66.2	22.442
66.4	22.277
66.6	22.117
66.8	21.966
67	21.826
67.2	21.703
67.4	21.6
67.6	21.52
67.8	21.466
68	21.442
68.2	21.45
68.4	21.492
68.6	21.568
68.8	21.678
69	21.82
69.2	21.991
69.4	22.186
69.6	22.398
69.8	22.621
70	22.85
70.2	23.079
70.4	23.302
70.6	23.518
70.8	23.724
71	23.918
71.2	24.1
71.4	24.267
71.6	24.42
71.8	24.555
72	24.67
72.2	24.761
72.4	24.825
72.6	24.857
72.8	24.855
73	24.817
73.2	24.741
73.4	24.626
73.6	24.472
