1	100	237.0152
3.767588	100	237.6489
7.080728	99.99999	239.5618
9.539726	99.99998	242.4923
10.84813	99.99997	246.0865
10.84816	99.99997	249.9136
9.539747	99.99998	253.5076
7.080704	100	256.4382
3.767585	100	258.3511
1	100	258.9848
1	100.0001	260.9873
1	100.0002	263.49
5.264506	99.99996	262.4682
9.855322	99.99983	259.7902
13.33041	100	255.748
15.10184	100	250.6957
15.13791	99.99998	245.3523
13.30064	100	240.3309
9.877931	99.99998	236.2238
5.256942	100	233.5447
1	100.0001	232.5102
1	100.0001	235.0129
12.55978	99.99999	250.2391
8.193298	99.99996	257.7946
4.351406	100.0001	260.0204
11.05416	99.99988	254.4096
11.05005	99.99995	241.6235
12.56702	100	245.7966
8.196713	100	238.2165
4.35351	100	235.9857
43.25646	100	240.2101
35.92616	100	236.9724
28.96073	100	234.7261
22.51755	100	233.1928
16.67842	100	232.1823
11.487	100	231.5549
6.968517	100	231.203
3.137208	100	231.041
1	100	231
1	100	268.9998
1	100	274
4.205489	100	274
9.612546	100	274
16.22117	100	274
24.03137	100	274
33.04313	100	274
43.25646	100	274
43.25646	100	269.035
43.25646	100	263.07
43.25646	100	257.1051
43.25646	100	251.1401
43.25646	100	245.1751
21.54388	100	239.8403
21.12143	100	246.401
28.6725	100	240.9802
4.780406	100	268.2122
20.70085	100	252.375
28.25379	100	247.6729
9.980746	100	266.9622
35.87563	100	242.8679
19.87743	100	258.3393
27.73835	100	254.076
35.66093	100	249.3158
17.00114	100	265.1563
26.87906	100	260.5294
35.3476	100	255.6263
25.63921	100	267.4565
34.897	100	261.9573
34.22963	100	268.4147
